date,ACC_value
4899,0.414181038
4900,0.422631221
4901,0.42696722
4902,0.423684126
4903,0.407647521
4904,0.380066212
4905,0.380056468
4906,0.387929473
4907,0.409410579
4908,0.408490648
4909,0.384955316
4910,0.412215079
4911,0.38424631
4912,0.39634412
4913,0.428440829
4914,0.4325275
4915,0.430755845
4916,0.433594162
4917,0.438000087
4918,0.442504024
4919,0.448307327
4920,0.459349365
4921,0.452872592
4922,0.473660741
4923,0.463785668
4924,0.43557273
4925,0.427939309
4926,0.437087034
4927,0.431836836
4928,0.44362399
4929,0.403094293
4930,0.396226047
4931,0.40853994
4932,0.410982773
4933,0.431226414
4934,0.430254898
4935,0.407766167
4936,0.408342198
4937,0.428041332
4938,0.446788438
4939,0.45919633
4940,0.466223915
4941,0.476965615
4942,0.473246342
4943,0.486429728
4944,0.473462999
4945,0.481143993
4946,0.479556897
4947,0.470017699
4948,0.460407429
4949,0.445176122
4950,0.462748811
4951,0.459617607
4952,0.481880511
4953,0.505972387
4954,0.527165764
4955,0.536166186
4956,0.568133933
4957,0.609042492
4958,0.58014806
4959,0.591547181
4960,0.606873633
4961,0.599240211
4962,0.563546314
4963,0.558574674
4964,0.551460541
4965,0.526914718
4966,0.525383792
4967,0.520836868
4968,0.496986294
4969,0.504478717
4970,0.538757468
4971,0.553714802
4972,0.523056166
4973,0.52959828
4974,0.5396069
4975,0.536363928
4976,0.533213236
4977,0.542426876
4978,0.548863527
4979,0.561429613
4980,0.570444364
4981,0.588045138
4982,0.585224589
4983,0.583294167
4984,0.576705627
4985,0.574256489
4986,0.571498416
4987,0.575816073
4988,0.603991182
4989,0.57268143
4990,0.578234833
4991,0.569564555
4992,0.579777222
4993,0.603004191
4994,0.607214093
4995,0.585683122
4996,0.594113244
4997,0.591038783
4998,0.610238116
4999,0.631254958
5000,0.610161885
5001,0.622139903
5002,0.610970049
5003,0.59741124
5004,0.627405004
5005,0.630227845
5006,0.645514749
5007,0.658636805
5008,0.66489291
5009,0.664441828
5010,0.637067432
5011,0.641095068
5012,0.656743066
5013,0.656596335
5014,0.633016869
5015,0.646204267
5016,0.6511312
5017,0.642061425
5018,0.641898646
5019,0.616658146
5020,0.615527863
5021,0.621936429
5022,0.611583336
5023,0.596750379
5024,0.573940102
5025,0.537145726
5026,0.53339493
5027,0.549255572
5028,0.524173266
5029,0.515622206
5030,0.500526739
5031,0.507693031
5032,0.50851667
5033,0.486583909
5034,0.452093087
5035,0.469331047
5036,0.49926864
5037,0.480390853
5038,0.468922953
5039,0.460645293
5040,0.459165952
5041,0.464992755
5042,0.475538432
5043,0.476848689
5044,0.48187134
5045,0.507163426
5046,0.523641368
5047,0.516179896
5048,0.525008368
5049,0.543639694
5050,0.553279769
5051,0.574372842
5052,0.576786443
5053,0.587774031
5054,0.595362172
5055,0.602283148
5056,0.616990009
5057,0.619777887
5058,0.641633843
5059,0.636518912
5060,0.671017759
5061,0.699423281
5062,0.701748614
5063,0.660594167
5064,0.641764525
5065,0.640481207
5066,0.639072939
5067,0.627277761
5068,0.656631872
5069,0.690507687
5070,0.699622169
5071,0.752589563
5072,0.75956671
5073,0.73784602
5074,0.731973937
5075,0.739108131
5076,0.728034569
5077,0.718479322
5078,0.695359535
5079,0.664430938
5080,0.660979907
5081,0.624152288
5082,0.583567567
5083,0.555747821
5084,0.554062714
5085,0.52012385
5086,0.513657967
5087,0.497863238
5088,0.48800708
5089,0.478359554
5090,0.48876939
5091,0.476002696
5092,0.44670189
5093,0.419849647
5094,0.397763851
5095,0.407419975
5096,0.422229431
5097,0.394236589
5098,0.388365079
5099,0.388569126
5100,0.397422244
5101,0.4159974
5102,0.430928941
5103,0.437275606
5104,0.44142246
5105,0.4520031
5106,0.442988922
5107,0.440698551
5108,0.442889764
5109,0.458279265
5110,0.484989362
5111,0.488959108
5112,0.476677885
5113,0.467884376
5114,0.476755836
5115,0.487175416
5116,0.482603846
5117,0.489747211
5118,0.480774874
5119,0.506367872
5120,0.503110571
5121,0.492512163
5122,0.492345371
5123,0.481832365
5124,0.474393247
5125,0.47197678
5126,0.430939258
5127,0.433251982
5128,0.452068441
5129,0.441433923
5130,0.45552463
5131,0.438037343
5132,0.42738735
5133,0.431496948
5134,0.438632862
5135,0.458027645
5136,0.435477585
5137,0.419585418
5138,0.437890612
5139,0.449363098
5140,0.44258484
5141,0.423256544
5142,0.405112982
5143,0.403019208
5144,0.412027654
5145,0.429620404
5146,0.447235507
5147,0.459206647
5148,0.444721602
5149,0.452178488
5150,0.449368257
5151,0.471100409
5152,0.477835107
5153,0.490614411
5154,0.501326306
5155,0.514624897
5156,0.530009813
5157,0.57159872
5158,0.58473052
5159,0.58795687
5160,0.585656183
5161,0.592617281
5162,0.595126028
5163,0.599738293
5164,0.621085278
5165,0.602838546
5166,0.592669439
5167,0.585363869
5168,0.594235328
5169,0.604317887
5170,0.587458789
5171,0.607278288
5172,0.586685589
5173,0.592276821
5174,0.572289385
5175,0.546584047
5176,0.559633885
5177,0.547614026
5178,0.547592245
5179,0.525901934
5180,0.529005626
5181,0.529877411
5182,0.506717503
5183,0.495876072
5184,0.498845644
5185,0.481870767
5186,0.488223736
5187,0.50788848
5188,0.514760738
5189,0.509118494
5190,0.485137812
5191,0.481019043
5192,0.493780005
5193,0.491475306
5194,0.481570428
5195,0.501869094
5196,0.501752741
5197,0.482670333
5198,0.477925094
5199,0.486718603
5200,0.476312779
5201,0.47433765
5202,0.480758826
5203,0.468381884
5204,0.432279893
5205,0.435649534
5206,0.428976165
5207,0.407425133
5208,0.409325178
5209,0.39896578
5210,0.38895544
5211,0.398833952
5212,0.412048288
5213,0.406826748
5214,0.412004727
5215,0.427259534
5216,0.44387217
5217,0.476004989
5218,0.464026398
5219,0.478497687
5220,0.47640162
5221,0.496080693
5222,0.48151827
5223,0.454346201
5224,0.455759055
5225,0.465279911
5226,0.448243132
5227,0.457887792
5228,0.458185266
5229,0.469328181
5230,0.46735821
5231,0.446468611
5232,0.469055927
5233,0.479039328
5234,0.483657898
5235,0.491424867
5236,0.48866622
5237,0.508128064
5238,0.518000844
5239,0.531955137
5240,0.537267237
5241,0.559324375
5242,0.57856383
5243,0.591393572
5244,0.599626525
5245,0.595658499
5246,0.578783353
5247,0.590324618
5248,0.622464315
5249,0.62104229
5250,0.636399121
5251,0.644579915
5252,0.633183087
5253,0.600551615
5254,0.594562033
5255,0.652380128
5256,0.651387405
5257,0.639677629
5258,0.608363291
5259,0.575109933
5260,0.552234888
5261,0.545893382
5262,0.534201947
5263,0.54006314
5264,0.52345165
5265,0.511552156
5266,0.50857456
5267,0.509406796
5268,0.477127247
5269,0.489691614
5270,0.49048029
5271,0.505873229
5272,0.499695649
5273,0.50429645
5274,0.5025546
5275,0.498873729
